Scent Name,"Fragrance Notes (top, middle, base)",Essential Oils,
,,,
Blushing Bride ,"(light apple, rose, carnation, jasmine, suede, musk, wood) ",patchouli,
Bali Blue Surf ,"(lemon, mandarin blossom, sea water, coconut, grapefruit blossom, ",,
,"waterlily, musk, sea moss, amberwood)",,
Farmer's Market ,"(citrus, basil, chamomile, orange peel, mint, agave, tomato leaf) ",lemon and orange,
Cabin Retreat ,"(orange peel, ginger, spice, cypress, clove, pine, fir)","lemon, fir needle, gurjun balsam",
Maple Chai + Cream ,"(ginger, nutmeg, orange, maple, cinnamon, vanilla, brown sugar, ",,
,buttermilk),,
Merry Maple Bourbon ,"(sweet maple, spiced bourbon, cedarwood) ","patchouli, gurjan balsam, cedarwood",
Coffee Latte ,"(coffee bean, cream, vanilla) ","coffee, nutmeg",
Oatmeal Milk + Honey ,"(almond, oats, tonka bean, musk, vanilla bean, honey)",,
Winter Citrus Wreath ,"(citrus, pine, clove, musk, woody)",,
Berry Christmas ,"(raspberry, hollyberry, black raspberry, orange zest, apple, lemon, ",,
,"nectarine, jasmine, musk)",,
Wild Mountain Honey ,"(jasmine, honey, rose, orange blossom, vanilla, tonka) ",,
Citrus Evergreen ,"(bright orange, evergreen, clove, cinnamon stick, balsam, ",fir needle,
,"cedar, vetiver)",,
Bourbon Strawberry + Vanilla,"(strawberry, bourbon, vanilla)",,
Saltwater Orchid ,"(citrus, ozone, floral, greenery, musk)","orange, california",
Magnolia + Pink Peonies,"(cherry blossom, peach, citrus, magnolia, peony, jasmine, amber, ",orange ,
,"powder, cedar, musk, woods)",,
Sweet Bergamot + Tea Blossom,"(citrus, aromatic, floral, aquatic, woody, musk)",,
,,,
Oh Snap! Gingerbread ,"(almond, ginger, spice, sweet vanilla)",bergamot,
Snickerdoodle ,"(cinnamon, sugar, butter, honey, vanilla, cream) ","patchouli, bergamot",
Vampire's Kiss ,"(ripe red strawberries, jasmine blooms, dark plum)",,
Cheirosa '71 (salted caramel  ,"(vanilla, sea salt, toasted macadamia nut,",,
& toasted macadamia) ,"white chocolate, caramel, tonka bean, coconut blossom)",,
Autum in the Park ,"(apple, brown sugar, cedarwood)",patchouli ,
Peppermint Swirt,"(peppermint, mint, eucalyptus, vanilla, sandalwood)","cornmint, peppermint",
Christmas Wish ,"(cookies, pine scent, vanilla, sugarcane)","fir needle, lemon",
,,,
Farmstand Apple ,"(vanilla, pear, fresh farmstand apples, musk, woods)",,
